39	inter	35712.R	35713.R	11	1	1	57703858	57894834	35712.O	35713.O	2	19	-1	-1	84258441	84372889	13887570	14157343	50000	140976	1
40	inter	35713.R	35714.R	11	1	1	68659722	68778143	35713.O	35714.O	19	7	-1	-1	309831	3309831	152458596	152524553	50000	68421	1
41	intra	35714.R	35715.R	11	1	1	71162974	71677032	35714.O	35715.O	7	7	-1	-1	150779429	151030976	109176497	102083245	50000	464058	-4
42	inter	35715.R	35716.R	11	1	1	89300901	89910533	35715.O	35716.O	7	9	-1	-1	94913306	94308787	18152752	18308005	50000	559632	-3
43	intra	35716.R	35717.R	11	1	1	107386639	107502617	35716.O	35717.O	9	9	-1	-1	385322	3385322	53781242	53924456	50000	65978	1
44	intra	35718.R	35719.R	12	1	1	2773666	2953120	35718.O	35719.O	6	6	-1	-1	118319681	118574276	128339766	127801052	50000	129454	-4
45	intra	35720.R	35721.R	12	1	1	9164464	9951365	35720.O	35721.O	6	6	-1	1	121170667	122244446	127888035	129260184	50000	736901	1
46	intra	35721.R	35722.R	12	1	1	30893693	31035917	35721.O	35722.O	6	6	1	1	148810449	148914642	128339766	127801052	50000	92224	-4
47	intra	35722.R	35723.R	12	1	1	31115338	31474829	35722.O	35723.O	6	6	1	1	127888035	129260184	148810449	148914642	50000	309491	1
48	inter	35723.R	35724.R	12	1	1	32487434	32684919	35723.O	35724.O	6	16	1	-1	149462021	149517037	16525303	16920152	50000	147485	1
49	inter	35724.R	35725.R	12	1	1	33004761	33526533	35724.O	35725.O	16	15	-1	1	16065190	16260137	89374367	89613877	50000	471772	1
50	inter	35726.R	35727.R	12	1	1	55022925	55401591	35726.O	35727.O	15	10	1	-1	103385732	103494974	129751366	129993255	50000	328666	1
51	intra	35727.R	35728.R	12	1	1	104301507	104409309	35727.O	35728.O	10	10	-1	1	85929330	86197576	81010631	82142328	50000	57802	1
52	inter	35728.R	35729.R	12	1	1	108126937	108375357	35728.O	35729.O	10	5	1	1	85347096	85451120	113690207	113848218	50000	198420	1
53	intra	35729.R	35730.R	12	1	1	110436420	110538793	35729.O	35730.O	5	5	1	-1	115223576	115397600	123052913	123145992	50000	52373	1
54	intra	35730.R	35731.R	12	1	1	121447537	121627100	35730.O	35731.O	5	5	-1	1	115223576	115397600	123052913	123145992	50000	129563	1
55	intra	35731.R	35732.R	12	1	1	132286561	132428991	35731.O	35732.O	5	5	1	-1	130062880	130271165	111189333	111303051	50000	92430	1
56	intra	35733.R	35734.R	13	1	1	23320461	23903398	35733.O	35734.O	14	14	1	1	59683415	59868720	61012518	61104965	50000	532937	1
57	intra	35734.R	35735.R	13	1	1	24846355	25238452	35734.O	35735.O	14	14	1	1	61801455	61973772	56874074	56978136	50000	342097	1
58	intra	35735.R	35736.R	13	1	1	25461922	25735086	35735.O	35736.O	14	14	1	-1	57228768	57336636	61012518	61104965	50000	223164	1
59	inter	35736.R	35737.R	13	1	1	26618986	26834894	35736.O	35737.O	14	5	-1	1	60166853	60272859	146006170	147067095	50000	165908	1
60	inter	35737.R	35738.R	13	1	1	34210463	34513185	35737.O	35738.O	5	3	1	-1	152186442	152537259	56945963	57104365	50000	252722	1
61	inter	35738.R	35739.R	13	1	1	41204213	41519941	35738.O	35739.O	3	14	-1	-1	49109615	52109615	79969334	80036707	50000	265728	1
62	intra	35739.R	35740.R	13	1	1	49749059	49871990	35739.O	35740.O	14	14	-1	-1	72739990	72978371	60166853	60272859	50000	72931	1
